day,hour,value
29,6,41349
29,7,41190
29,8,40892
29,9,41365
29,10,41312
29,11,45205
29,12,327617
29,13,97410
29,14,66577
29,15,72626
29,16,74515
29,17,72259
29,18,72594
29,19,72045
29,20,71794
29,21,71961
29,22,71103
29,23,103326
29,24,120819
30,1,100012
30,2,74624
30,3,93340
30,4,41549
30,5,41480
30,6,43731
30,7,41232
30,8,41148
30,9,41120
30,10,41173
30,11,54941
30,12,293858
30,13,100904
30,14,100394
30,15,100292
30,16,100275
30,17,100456
30,18,100558
30,19,194636
30,20,100462
30,21,106806
30,22,108013
30,23,148099
30,24,151342
31,1,150986
31,2,151767
31,3,144287
31,4,105773
31,5,104433
31,6,133948
31,7,142198
31,8,39537
31,9,38077
31,10,39487
31,11,122824
31,12,214660
31,13,31798
31,14,969
31,15,957
31,16,973
31,17,995
31,18,967
31,19,975
31,20,978
31,21,968
31,22,974
31,23,105390
31,24,34755
32,1,171191
32,2,163908
32,3,159316
32,4,69530
32,5,70108
32,6,69905
32,7,70231
32,8,70185
32,9,70116
32,10,69199
32,11,69461
32,12,98931
32,13,115629
32,14,114582
32,15,115129
32,16,97031
32,17,975
32,18,961
32,19,8339
32,20,27399
32,21,113846
32,22,104518
32,23,108899
32,24,115946
33,1,115749
33,2,105917
33,3,100915
33,4,100084
33,5,96581
33,6,41619
33,7,39962
33,8,39969
33,9,39797
33,10,39643
33,11,57281
33,12,87804
33,13,100238
33,14,61517
33,15,148466
33,16,229767
33,17,232359
33,18,233870
33,19,234649
33,20,197030
33,21,83935
33,22,61985
33,23,101908
33,24,104253
34,1,113541
34,2,106795
34,3,132337
34,4,143880
34,5,141563
34,6,66049
34,7,39777
34,8,39826
34,9,39817
34,10,40506
34,11,36503
34,12,107893
34,13,118926
34,14,115852
34,15,115912
34,16,87944
34,17,132174
34,18,56460
34,19,37856
34,20,2801
34,21,2615
34,22,16564
34,23,112648
34,24,91261
35,1,107670
35,2,115212
35,3,143969
35,4,143541
35,5,98897
35,6,40350
35,7,41233
35,8,40993
35,9,41073
35,10,41288
35,11,100520
35,12,116504
35,13,71324
35,14,2098
35,15,199559
35,16,91422
35,17,43000
35,18,43485
35,19,44259
35,20,43712
35,21,43966
35,22,44463
35,23,72855
35,24,114296
36,1,129626
36,2,98048
36,3,101755
36,4,96786
36,5,60568
36,6,40888
36,7,40907
36,8,41331
36,9,41266
36,10,40980
36,11,53310
36,12,187944
36,13,77778
36,14,84506
36,15,34069
36,16,72111
36,17,72115
36,18,56098
36,19,116138
36,20,116360
36,21,116479
36,22,116160
36,23,299452
36,24,217932
37,1,155740
37,2,162150
37,3,70640
37,4,37258
37,5,42194
37,6,40909
37,7,41249
37,8,41161
37,9,41018
37,10,41226
37,11,68617
37,12,237922
37,13,63401
37,14,2614
37,15,2659
37,16,2534
37,17,2567
37,18,2641
37,19,1375
37,20,53
